Company,Location_HQ,Industry,Laid_Off_Count,Percentage,Date,Source,Country,Stage,Funds_Raised_USD
Acko,"Mumbai, Non-U.S.",Finance,60,0.05,20/04/2026,https://inc42.com/buzz/acko-cuts-5-workforce-in-pre-ipo-restructuring/,India,Unknown,143
Meta,SF Bay Area,Consumer,8000,0.1,17/04/2026,https://www.reuters.com/world/meta-targets-may-20-first-wave-layoffs-additional-cuts-later-2026-2026-04-17/,United States,Post-IPO,26000
Shutterfly,"Haifa, Non-U.S.",Manufacturing,80,,16/04/2026,https://www.calcalistech.com/ctechnews/article/rkx2avanzg,United States,Post-IPO,50
Quora,SF Bay Area,Consumer,,,16/04/2026,https://quorablog.quora.com/Update?ch=10&oid=246876762&share=572b9cd0&srid=57WTZa&target_type=post,United States,Series D,226
Snap,Los Angeles,Consumer,1000,0.16,15/04/2026,https://www.cnbc.com/2026/04/15/snap-stock-layoffs-16-percent-workforce.html,United States,Post-IPO,4900
UKG,Boston,HR,950,,15/04/2026,https://www.sun-sentinel.com/2026/04/16/ukg-formerly-ultimate-software-lays-off-950-employees-many-from-south-florida-offices/,United States,Unknown,
Productboard,SF Bay Area,Product,,0.3,15/04/2026,https://www.linkedin.com/pulse/productboard-going-ai-only-heres-what-means-hubert-palan-h1ozc/?trackingId=xrFN60pCTAaxJwMPkmzg1Q%3D%3D,United States,Series D,
Eventbrite,SF Bay Area,Consumer,,,13/04/2026,https://www.reuters.com/technology/bending-spoons-cuts-eventbrite-staff-rolls-out-product-changes-after-takeover-2026-04-13/,United States,Acquired,290
StarkWare,"Tel Aviv, Non-U.S.",Crypto,,,13/04/2026,https://www.calcalistech.com/ctechnews/article/sy7u2uq3wx,Israel,Series D,273
Cars.com,Chicago,Transportation,,0.11,09/04/2026,https://www.marketwatch.com/story/cars-com-to-lay-off-11-of-full-time-workforce-amid-ai-push-update-bb0c9f35,United States,Acquired,
Pepper Pay,Miami,Finance,,1,09/04/2026,https://www.americanbanker.com/news/payments-fintech-pepper-pay-declares-bankruptcy,United States,Unknown,
GoPro,SF Bay Area,Consumer,145,0.23,07/04/2026,https://www.wsj.com/business/gopro-to-eliminate-23-of-workforce-in-cost-cutting-move-ca5ba06b,United States,Post-IPO,288
Pendo,Raleigh,Product,90,0.1,07/04/2026,https://www.axios.com/local/raleigh/2026/04/07/raleigh-software-unicorn-pendo-layoffs-jobs,United States,Series F,469
Bolt,SF Bay Area,Finance,,0.33,05/04/2026,https://www.pymnts.com/digital-payments/2026/bolt-cuts-third-of-staff-amid-new-ai-focus/,United States,Series E,1300
NeuroPixel.AI,"Bengaluru, Non-U.S.",Retail,,1,03/04/2026,https://entrackr.com/news/flipkart-backed-neuropixelai-shuts-operations-amid-financial-strain-11448982,India,Seed,1
Vimeo,New York City,Consumer,,,03/04/2026,https://hoodline.com/2026/04/vimeo-axes-quarter-of-midtown-staff-after-billion-dollar-takeover/,United States,Post-IPO,450
Meta,SF Bay Area,Consumer,200,,02/04/2026,https://www.sfchronicle.com/tech/article/meta-layoffs-silicon-valley-22186184.php,United States,Post-IPO,26000
Sonos,Santa Barbara,Consumer,,,01/04/2026,https://www.bloomberg.com/news/articles/2026-04-01/sonos-makes-marketing-cuts-as-new-cmo-reshapes-division,United States,Post-IPO,455.2
Oracle,SF Bay Area,Other,30000,,31/03/2026,https://www.cnbc.com/2026/03/31/oracle-layoffs-ai-spending.html,United States,Post-IPO,
Monzo,"London, Non-U.S.",Finance,50,,31/03/2026,https://www.bloomberg.com/news/articles/2026-03-31/fintech-monzo-shutting-down-us-operations-to-focus-on-uk-europe,United Kingdom,Series F,324
Covrzy,"Bengaluru, Non-U.S.",Finance,,1,31/03/2026,https://inc42.com/buzz/antler-backed-covrzy-shuts-down-due-to-cash-crunch/,India,Seed,
Rec Room,Seattle,Consumer,,1,31/03/2026,https://techcrunch.com/2026/03/31/social-gaming-platform-rec-room-once-valued-at-3-5b-is-shutting-down/,United States,Series F,294
Yupp,SF Bay Area,AI,,1,31/03/2026,https://techcrunch.com/2026/03/31/yupp-ai-shuts-down-33m-a16z-crypto-chris-dixon/,United States,Seed,33
Enpal,"Berlin, Non-U.S.",Energy,100,,27/03/2026,https://www.businessinsider.de/gruenderszene/business/enpal-alle-zugaenge-kurz-nach-bekanntgabe-gesperrt-fast-100-mitarbeiter-entlassen/,Germany,Series E,3500
Monte Carlo,SF Bay Area,Data,,0.3,26/03/2026,https://www.linkedin.com/feed/update/urn:li:activity:7442678720647184385/,United States,Series D,236
Quandoo,"Berlin, Non-U.S.",Food,,1,26/03/2026,https://finance.yahoo.com/markets/stocks/articles/quandoo-shut-restaurant-booking-platform-112913577.html,Germany,Acquired,39
Epic Games,Raleigh,Consumer,1000,,24/03/2026,https://www.epicgames.com/site/en-US/news/todays-layoffs,United States,Unknown,6400
Zendesk,SF Bay Area,Support,100,,24/03/2026,Internal memo,United States,Acquired,85
OpenText,"Waterloo, Non-U.S.",Data,,,24/03/2026,https://betakit.com/opentext-employees-report-job-cuts-tied-to-apparent-restructuring/,Canada,Post-IPO,1100
Spotify,"Stockholm, Non-U.S.",Media,15,,23/03/2026,https://variety.com/2026/digital/news/spotify-podcast-layoffs-the-ringer-spotify-studios-1236697019/,Sweden,Post-IPO,2100
Gemini,New York City,Crypto,,0.3,20/03/2026,https://www.bloomberg.com/news/articles/2026-03-19/winklevosses-says-jobs-cuts-at-gemini-exchange-reach-30?embedded-checkout=true,United States,Unknown,423
Crypto.com,"Singapore, Non-U.S.",Crypto,,0.12,19/03/2026,https://www.cnbc.com/2026/03/19/crypto-com-layoffs-12percent-ai-job-loss.html,Singapore,Unknown,
Snowflake,SF Bay Area,Data,,,19/03/2026,https://www.businessinsider.com/snowflake-layoffs-strategy-ai-growth-2026-3,United States,Post-IPO,2900
FranShares,Chicago,Finance,,1,17/03/2026,https://www.bizjournals.com/chicago/news/2026/03/17/franshares-chicago-startup-shuts-down.html,United States,Seed,6
Stone,"Sao Paulo, Non-U.S.",Finance,400,0.03,13/03/2026,https://jovempan.com.br/noticias/economia/stone-faz-demissao-em-massa-e-desliga-cerca-de-400-funcionarios.html,Brazil,Post-IPO,521
Digg,New York City,Consumer,,,13/03/2026,https://techcrunch.com/2026/03/13/digg-lays-off-staff-and-shuts-down-app-as-company-retools/,United States,Acquired,49
Atlassian,"Sydney, Non-U.S.",Other,1600,0.1,11/03/2026,https://au.finance.yahoo.com/news/atlassian-lay-off-1-600-212610757.html?guccounter=1,Australia,Post-IPO,210
InvestCloud,Los Angeles,Finance,150,,10/03/2026,https://citywire.com/ria/news/investcloud-lays-off-150-sources/a2485606,United States,Private Equity,54
Flipkart,"Bengaluru, Non-U.S.",Retail,500,,06/03/2026,https://inc42.com/buzz/flipkart-lays-off-about-500-employees-post-annual-performance-review/,India,Acquired,12900
SSense,"Montreal, Non-U.S.",Retail,215,,05/03/2026,https://betakit.com/ssense-cut-more-than-200-jobs-days-after-founders-won-bid-to-buy-back-company/,Canada,Series A,
Supernal,Los Angeles,Transportation,296,0.8,04/03/2026,https://www.latimes.com/business/story/2026-03-04/irvine-startup-lays-off-close-to-300-employees,United States,Unknown,
Envato,"Melbourne, Non-U.S.",Marketing,200,0.3,04/03/2026,https://www.startupdaily.net/advice/business-strategy/shutterstock-owned-envato-is-slashing-its-workforce/,Australia,Unknown,
Amazon,Seattle,Retail,100,,04/03/2026,https://finance.yahoo.com/news/amazon-cuts-more-jobs-time-212928090.html,United States,Post-IPO,8100
At-Bay,"Tel Aviv, Non-U.S.",Security,25,,04/03/2026,https://www.calcalistech.com/ctechnews/article/bye11uubkwe,United States,Unknown,296
MicroVision,Seattle,Other,49,,03/03/2026,https://www.bizjournals.com/seattle/news/2026/03/03/microvision-lidar-redmond-layoffs-warn-cars.html,United States,Post-IPO,415
Verint Systems,New York City,Security,,,02/03/2026,https://www.calcalistech.com/ctechnews/article/rjpmvvqf11l,United States,Acquired,213
Zap Africa,"Lagos, Non-U.S.",Finance,,0.44,28/02/2026,https://techcabal.com/2026/02/28/zap-africa-layoffs/,Nigeria,Seed,
Block,SF Bay Area,Finance,4000,0.4,26/02/2026,https://www.cnbc.com/2026/02/26/block-laying-off-about-4000-employees-nearly-half-of-its-workforce.html,United States,Post-IPO,150
Ocado,"London, Non-U.S.",Food,1000,0.05,26/02/2026,https://www.theguardian.com/business/2026/feb/26/ocado-to-cut-1000-jobs-in-150m-cost-cutting-drive,United Kingdom,Post-IPO,2000
eBay,SF Bay Area,Retail,800,0.06,26/02/2026,https://www.cnbc.com/2026/02/26/ebay-layoffs-800-workforce.html,Israel,Post-IPO,1200
C3.ai,SF Bay Area,AI,280,0.26,25/02/2026,https://www.morningstar.com/stocks/xnys/ai/earnings-transcript,United States,Series F,228
Deliveroo,"London, Non-U.S.",Food,187,,25/02/2026,https://in.investing.com/news/company-news/doordash-closes-deliveroo-operations-in-qatar-and-singapore-93CH-5256077,United Kingdom,Post-IPO,1700
WiseTech,"Sydney, Non-U.S.",Logistics,2000,0.3,24/02/2026,https://www.bloomberg.com/news/articles/2026-02-24/wisetech-to-cut-2-000-jobs-as-ai-ends-era-of-manual-coding,Australia,Post-IPO,3000
TrueCar,Los Angeles,Transportation,100,0.3,24/02/2026,https://aimgroup.com/2026/02/24/truecar-cuts-30-of-staff/,United States,Post-IPO,340
DraftKings,Boston,Consumer,,,24/02/2026,https://next.io/news/people/draftkings-reduces-workforce-company-embraces-ai/,United States,Post-IPO,719
Livspace,"Bengaluru, Non-U.S.",Consumer,1000,0.12,20/02/2026,https://inc42.com/buzz/livspace-fires-1000-employees-cofounder-quits/,India,Series F,482
Lucid Motors,SF Bay Area,Transportation,,0.12,20/02/2026,https://techcrunch.com/2026/02/20/lucid-motors-slashes-12-of-its-workforce-as-it-seeks-profitability/,United States,Post-IPO,8300
Codecademy,New York City,Education,,,19/02/2026,https://www.edtechinnovationhub.com/news/skillsoft-lays-off-entire-codecademy-curriculum-team-senior-leader-confirms,United States,Acquired,87
Cyberark,Boston,Security,500,0.12,17/02/2026,https://www.calcalistech.com/ctechnews/article/hy707511ube,United States,Acquired,1700
Huawei,"Tel Aviv, Non-U.S.",Hardware,50,,15/02/2026,https://www.calcalistech.com/ctechnews/article/bkmmdojuwx,Israel,Unknown,
Axonius,New York City,Security,40,0.04,15/02/2026,https://www.calcalistech.com/ctechnews/article/s1xchi1oze,United States,Series E,865
Firebolt,"Tel Aviv, Non-U.S.",Data,,,15/02/2026,https://www.calcalistech.com/ctechnews/article/r1cj0csuwl,Israel,Series C,264
Clari,SF Bay Area,Sales,76,,12/02/2026,https://www.bizjournals.com/sanjose/news/2026/02/12/clari-salesloft-merger-ai-investments-layoffs.html,United States,Acquired,496
Glossier,New York City,Retail,50,0.33,11/02/2026,https://www.businessoffashion.com/news/cosmetics/glossier-layoffs-2026/,United States,Series E,266
Dayforce,"Toronto, Non-U.S.",HR,,0.05,11/02/2026,Internal memo,Canada,Post-IPO,40
Fi.Money,"Bengaluru, Non-U.S.",Finance,,0.4,10/02/2026,https://www.moneycontrol.com/technology/neobanking-fintech-fimoney-pivots-to-b2b-lays-off-staff-in-consumer-business-article-13822324.html#goog_rewarded,India,Series C,
Salesforce,SF Bay Area,Sales,,,09/02/2026,https://www.businessinsider.com/salesforce-cuts-jobs-executive-changes-2026-2,United States,Post-IPO,65
Workday,SF Bay Area,HR,400,0.02,04/02/2026,https://www.bloomberg.com/news/articles/2026-02-04/workday-to-cut-about-400-employees-focused-on-customer-support,United States,Post-IPO,230
Rewire,"Tel Aviv, Non-U.S.",Finance,110,,04/02/2026,https://www.calcalistech.com/ctechnews/article/bkxy2fwv11g,Israel,Acquired,57
Smartsheet,Seattle,Other,,,04/02/2026,https://www.geekwire.com/2026/smartsheet-layoffs-enterprise-software-giant-cuts-staff/,United States,Post-IPO,152
Zillow,Seattle,Real Estate,200,,02/02/2026,https://www.seattletimes.com/business/real-estate/seattle-based-zillow-lays-off-200-employees/,United States,Post-IPO,97
Zipcar,Boston,Transportation,126,,02/02/2026,https://www.boston.com/news/business/2026/02/02/zipcar-to-close-seaport-headquarters-cut-more-than-100-jobs/,United States,Acquired,107
Expedia,Seattle,Travel,100,,01/02/2026,https://finance.yahoo.com/news/expedia-cut-100-jobs-austin-161917994.html?guccounter=1,United States,Post-IPO,3300
Zupee,"New Delhi, Non-U.S.",Consumer,200,,30/01/2026,https://yourstory.com/2026/01/zupee-cuts-about-200-jobs-in-second-layoff-after-money-gaming-ban,India,Series B,121
Peloton,New York City,Fitness,,0.11,30/01/2026,https://www.reuters.com/business/peloton-cuts-11-staff-including-engineering-teams-bloomberg-news-reports-2026-01-30/,United States,Post-IPO,1900
Kiwi.com,"Brno, Non-U.S.",Travel,250,0.36,29/01/2026,https://forbes.cz/kiwi-pokracuje-v-propousteni-odchazi-tretina-zamestnancu/,Czech Republic,Unknown,107
Gloo,Boulder,Consumer,,,29/01/2026,https://www.bizjournals.com/denver/news/2026/01/29/ai-company-cuts-staff-reduces-executive-salaries.html,United States,Post-IPO,152
Amazon,Seattle,Retail,16000,,28/01/2026,https://www.aboutamazon.com/news/company-news/amazon-layoffs-corporate-jan-2026,United States,Post-IPO,8100
ASML,"Veldhoven, Non-U.S.",Hardware,1700,,28/01/2026,https://www.asml.com/en/news/press-releases/2026/strengthening-focus-on-engineering-and-innovation,Netherlands,Post-IPO,
Pinterest,SF Bay Area,Consumer,700,0.15,27/01/2026,https://www.theverge.com/news/868531/pinterest-layoffs-cuts-15-percent-ai-transformation,United States,Post-IPO,1500
Moon Active,"Tel Aviv, Non-U.S.",Consumer,110,0.05,27/01/2026,https://www.calcalistech.com/ctechnews/article/jvbqyjznm,Israel,Unknown,425
Expedia,Seattle,Travel,,,26/01/2026,https://www.bizjournals.com/seattle/news/2026/01/26/expedia-layoffs-tech-team-interbay-travel.html,United States,Post-IPO,3300
Entropy,New York City,Crypto,,1,25/01/2026,https://www.theblock.co/post/386942/entropy-a16z-backed-decentralized-custody-startup-is-winding-down-and-returning-capital-to-investors,United States,Seed,27
Autodesk,SF Bay Area,Other,1000,0.07,22/01/2026,https://www.reuters.com/business/world-at-work/autodesk-lay-off-about-7-workforce-2026-01-22/,United States,Post-IPO,
Shopify,"Ottawa, Non-U.S.",Retail,,,22/01/2026,https://betakit.com/shopify-makes-more-job-cuts-this-time-targeting-partnerships-division/,Canada,Post-IPO,122
Vimeo,New York City,Consumer,,,21/01/2026,https://www.businessinsider.com/vimeo-laying-off-staff-after-billion-sale-to-bending-spoons-2026-1,United States,Post-IPO,450
Vimeo,"Tel Aviv, Non-U.S.",Consumer,,,20/01/2026,https://www.calcalistech.com/ctechnews/article/sjtjgbabzx,United States,Post-IPO,450
Polygon,"Cayman Islands, Non-U.S.",Crypto,60,,16/01/2026,https://www.coindesk.com/business/2026/01/16/polygon-labs-said-to-have-laid-off-60-staff-following-new-usd250-million-acquisition,Cayman Islands,Unknown,451
Ericsson,"Stockholm, Non-U.S.",Other,1600,,15/01/2026,https://www.reuters.com/business/world-at-work/ericsson-shed-1600-jobs-sweden-2026-01-15/,Sweden,Post-IPO,663
Tipalti,SF Bay Area,Finance,100,,15/01/2026,https://en.globes.co.il/en/article-tipalti-laying-off-dozens-of-employees-1001532153,United States,Series F,565
Playtika,"Tel Aviv, Non-U.S.",Consumer,500,0.15,14/01/2026,https://www.calcalistech.com/ctechnews/article/bkl6xzhswe,Israel,Post-IPO,
Aleph Alpha,"Frankfurt, Non-U.S.",AI,50,0.16,14/01/2026,https://www.startbase.com/news/aleph-alpha-baut-rund-50-stellen-ab/,Germany,Series B,534
Meta,SF Bay Area,Consumer,1500,0.02,13/01/2026,https://www.nytimes.com/2026/01/12/technology/meta-layoffs-reality-labs.html?unlocked_article_code=1.D1A.ckee.3ANQhKMxi5Ld&smid=url-share,United States,Post-IPO,26000
eToro,"Tel Aviv, Non-U.S.",Finance,105,0.07,13/01/2026,https://www.calcalistech.com/ctechnews/article/sjedi1vh11x,Israel,Unknown,322
StoreDot,"Tel Aviv, Non-U.S.",Other,,,13/01/2026,https://www.calcalistech.com/ctechnews/article/sjkqkmeb11x,Israel,Series D,184
MercadoLibre,"Buenos Aires, Non-U.S.",Retail,116,,12/01/2026,https://eleconomista.com.ar/economia/despidos-mercado-libre-entrenamos-ia-nos-reemplazo-n91871,Brazil,Post-IPO,5100
FormFactor,SF Bay Area,Manufacturing,220,0.11,09/01/2026,https://www.latimes.com/business/story/2026-01-09/bay-area-semiconductor-testing-company-to-lay-off-more-than-200-workers,United States,Post-IPO,15
Kaseya,Miami,Security,250,0.05,08/01/2026,https://www.crn.com/news/channel-news/2026/kaseya-lays-off-5-percent-of-workforce-to-align-our-go-to-market-teams?itc=refresh,United States,Private Equity,547
Hailo,"Tel Aviv, Non-U.S.",Manufacturing,30,0.1,08/01/2026,https://www.calcalistech.com/ctechnews/article/hyzk11etvwx,Israel,Series C,344
Foretellix,"Tel Aviv, Non-U.S.",Transportation,29,0.18,08/01/2026,https://www.calcalistech.com/ctechnews/article/hjjj7b6vzx,Israel,Series C,132
Tailwind Labs,Oklahoma City,Product,3,,08/01/2026,https://www.businessinsider.com/tailwind-engineer-layoffs-ai-github-2026-1,United States,Unknown,
Angi,Indianapolis,Consumer,350,,07/01/2026,https://ir.angi.com/node/12951/html,United States,Post-IPO,180
Multiverse,"London, Non-U.S.",Education,55,,05/01/2026,https://sifted.eu/articles/multiverse-job-cuts-euan-blair,United Kingdom,Series D,414
Sapiens,"Tel Aviv, Non-U.S.",Finance,700,0.15,28/12/2025,https://www.calcalistech.com/ctechnews/article/r1oyau0mzl,Israel,Acquired,88
Yellow.ai,SF Bay Area,Support,100,0.3,23/12/2025,https://inc42.com/buzz/exclusive-yellow-ai-lays-off-over-100-employees-amid-automation-push/,United States,Series C,102
The Trade Desk,Los Angeles,Marketing,,,17/12/2025,https://www.adexchanger.com/platforms/the-trade-desk-lays-off-staff-one-year-after-its-last-major-reorg/,United States,Post-IPO,257
Amazon,Seattle,Retail,84,,15/12/2025,https://www.bizjournals.com/seattle/news/2025/12/15/amazon-layoffs-84-february.html,United States,Post-IPO,8100
PowerSchool,Sacramento,Education,,,12/12/2025,https://www.bizjournals.com/sacramento/news/2025/12/12/powerschool-restructuring-layoffs.html,United States,Acquired,31
Zebra Technologies,Chicago,Manufacturing,,,12/12/2025,https://www.therobotreport.com/zebra-technologies-winding-down-fetch-based-mobile-robot-group/,United States,Post-IPO,2000
Believer Meats,"Jerusalem, Non-U.S.",Food,,,11/12/2025,https://www.calcalistech.com/ctechnews/article/bknaajdzbe,Israel,Series B,389
EyeEm,"Berlin, Non-U.S.",Other,,1,11/12/2025,https://petapixel.com/2025/12/11/eyeem-is-shutting-down/,Germany,Acquired,24
Lusha,Boston,Sales,24,0.08,10/12/2025,https://www.calcalistech.com/ctechnews/article/sybqqlwm11g,United States,Series B,245
Tenstorrent,"Toronto, Non-U.S.",Hardware,80,0.07,09/12/2025,https://www.eetimes.com/layoffs-at-tenstorrent-as-startup-pivots-towards-developer-sales/,Canada,Series D,1000
Whatfix,"Bengaluru, Non-U.S.",AI,60,0.06,09/12/2025,https://inc42.com/buzz/softbank-backed-whatfix-fires-60-employees/,India,Series E,265
VSCO,SF Bay Area,Consumer,24,,09/12/2025,https://techcrunch.com/2025/12/09/vsco-lays-off-24-staff-as-its-consumer-business-suffers/,United States,Series B,90
GenWise,"New Delhi, Non-U.S.",Other,,1,09/12/2025,https://inc42.com/buzz/exclusive-kunal-shah-backed-genwise-shuts-down-operations/,India,Seed,3
Mobileye,"Jerusalem, Non-U.S.",Transportation,200,0.04,08/12/2025,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,Israel,Post-IPO,2100
Payoneer,New York City,Finance,60,0.06,08/12/2025,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,United States,Post-IPO,
Teads,New York City,Marketing,180,0.1,04/12/2025,https://www.calcalistech.com/ctechnews/article/skb9q0lgwl,United States,Unknown,123
Cellebrite,"Tel Aviv, Non-U.S.",Other,20,0.01,03/12/2025,https://www.calcalistech.com/ctechnews/article/izmghyvm1,Israel,Post-IPO,410
Modern Hydrogen,Seattle,Energy,,,03/12/2025,https://fuelcellsworks.com/2025/12/03/green-investment/bill-gates-backed-modern-hydrogen-lays-off-most-of-its-employees-after-decade-long-pursuit-of-clean-energy,United States,Series B,99
Aqua Security,"Tel Aviv, Non-U.S.",Security,20,,01/12/2025,https://www.calcalistech.com/ctechnews/article/4bzp62ggf,United States,Series E,325
Inbound Health,Minneapolis,Healthcare,,1,01/12/2025,https://www.axios.com/pro/health-tech-deals/2025/12/01/inbound-health-closing-home-care-waiver,United States,Series B,50
Junglee Games,"New Delhi, Non-U.S.",Consumer,350,,26/11/2025,https://inc42.com/buzz/junglee-games-parent-flutter-sheds-350-jobs-in-post-rmg-ban-recast/,India,Seed,3
Shopify,"Ottawa, Non-U.S.",Retail,,,26/11/2025,https://www.thecanadianpressnews.ca/business/shopify-lays-off-staff-to-keep-team-fast-sharp-and-focused/article_2b3b4e8c-4531-5e36-a0ad-b02a9f8e6b6a.html,Canada,Post-IPO,122
HP,SF Bay Area,Hardware,4000,,25/11/2025,https://www.wsj.com/tech/hp-to-cut-up-to-10-of-workforce-as-part-of-ai-push-a2c198da?mod=hp_lead_pos4,United States,Post-IPO,
ezCater,Boston,Food,40,0.04,21/11/2025,https://www.bizjournals.com/boston/news/2025/11/21/ezcater-tech-layoffs.html,United States,Series D,319
Monarch Tractor,SF Bay Area,Other,102,,19/11/2025,https://techcrunch.com/2025/11/19/monarch-tractor-preps-for-layoffs-and-warns-employees-it-may-shut-down/,United States,Unknown,214
Pleo,"Copenhagen, Non-U.S.",Finance,100,0.12,19/11/2025,https://tech.eu/2025/11/19/expense-management-firm-pleo-hit-by-layoffs/,Denmark,Series C,428
UKG,"Montevideo, Non-U.S.",HR,300,,18/11/2025,https://www.elobservador.com.uy/cafe-y-negocios/la-multinacional-ukg-cierra-sus-operaciones-uruguay-y-despide-300-profesionales-n6025098,Uruguay,Unknown,
Culture Amp,"Melbourne, Non-U.S.",HR,60,0.06,18/11/2025,https://www.capitalbrief.com/article/culture-amp-lays-off-6-of-its-staff-globally-as-it-focuses-on-new-ai-products-3d5073ac-879a-4e01-9a08-a513ead8834b/,Australia,Series F,257
Veson Nautical,Boston,Other,,0.2,18/11/2025,https://www.tradewindsnews.com/technology/veson-nautical-acknowledges-staff-cuts-after-growth-spurt/2-1-1902984,United States,Private Equity,
Playtika,"Tel Aviv, Non-U.S.",Consumer,700,0.2,17/11/2025,https://www.calcalistech.com/ctechnews/article/h1y4ejyg11g,Israel,Post-IPO,
Pipe,SF Bay Area,Finance,200,0.5,16/11/2025,https://fintechbusinessweekly.substack.com/p/celtic-bank-faces-another-lawsuit,United States,Series D,453
Flipkart,"Bengaluru, Non-U.S.",Retail,40,,16/11/2025,https://www.calcalistech.com/ctechnews/article/sk7ktewxwg,India,Acquired,12900
BharatAgri,"Mumbai, Non-U.S.",Food,37,1,13/11/2025,https://inc42.com/buzz/agritech-startup-bharatagri-shuts-operations-due-to-funding-crunch/,India,Series A,21
AI Fleet,Austin,Transportation,,,13/11/2025,https://www.bizjournals.com/austin/news/2025/11/13/layoffs-hit-at-austin-ai-startup.html,United States,Series B,56
Synopsys,SF Bay Area,Other,2000,0.1,12/11/2025,https://www.reuters.com/business/world-at-work/synopsys-cut-about-10-its-workforce-2025-11-12/,United States,Post-IPO,
Deepwatch,Tampa Bay,Security,80,0.32,12/11/2025,https://techcrunch.com/2025/11/12/cybersecurity-firm-deepwatch-lays-off-dozens-citing-move-to-accelerate-ai-investment/,United States,Series C,256
GamesKraft,"Bengaluru, Non-U.S.",Consumer,280,,10/11/2025,https://inc42.com/buzz/real-money-gaming-ban-gameskrafts-layoff-count-climbs-to-400/,India,Unknown,
Sonder,SF Bay Area,Travel,,1,10/11/2025,https://skift.com/2025/11/10/sonder-shuts-down-after-marriott-termination-marking-the-end-of-a-hospitality-experiment/,United States,Post-IPO,839
Axonius,New York City,Security,100,0.11,06/11/2025,https://www.calcalistech.com/ctechnews/article/sj0syry1wg,United States,Series E,865
MyBambu,Memphis,Finance,141,1,05/11/2025,https://cbs12.com/news/local/new-west-palm-beach-fintech-firm-to-lay-off-141-employees-amid-funding-collapse-layoff-south-florida-palm-beach-county-downtown-west-palm-beach-news-mybambu-a-fintech-startup-2751-s-dixie-hwy-420-november-5-2025,United States,Unknown,15
Hewlett Packard Enterprise,SF Bay Area,Hardware,52,,05/11/2025,https://www.sfchronicle.com/tech/article/layoffs-hpe-hitachi-vantara-21140900.php,United States,Post-IPO,1400
Indeed,Austin,HR,,,05/11/2025,https://www.businessinsider.com/indeed-layoffs-job-cuts-after-summer-reorg-2025-11,United States,Acquired,5
TripAdvisor,Boston,Travel,,0.2,05/11/2025,https://skift.com/2025/11/05/layoffs-hit-20-of-tripadvisor-viator-and-administrative-staff-scoop/,United States,Post-IPO,3
Porter,"Bengaluru, Non-U.S.",Logistics,350,0.18,04/11/2025,https://inc42.com/buzz/exclusive-porter-lays-off-over-350-employees/,India,Series F,357
Personio,"Munich, Non-U.S.",HR,165,0.1,29/10/2025,Internal memo,Germany,Series E,724
Amazon,Seattle,Retail,14000,0.01,27/10/2025,https://www.cnbc.com/2025/10/28/amazon-layoffs-corporate-workers-ai.html,United States,Post-IPO,8100
Chegg,SF Bay Area,Education,388,0.45,27/10/2025,https://www.reuters.com/sustainability/boards-policy-regulation/hit-by-ai-edtech-firm-chegg-slashes-jobs-names-new-ceo-major-overhaul-2025-10-27/,United States,Post-IPO,227
Lightricks,"Jerusalem, Non-U.S.",Consumer,85,0.15,27/10/2025,https://www.calcalistech.com/ctechnews/article/byvtpanceg,Israel,Series D,335
Medtronic,"Jerusalem, Non-U.S.",Healthcare,60,,27/10/2025,https://www.calcalistech.com/ctechnews/article/s1g3z02cgg,United States,Post-IPO,5900
Hootsuite,"Vancouver, Non-U.S.",Marketing,,0.2,27/10/2025,https://www.biv.com/news/technology/hootsuite-laying-off-hundreds-of-staff-20-of-workforce-11405954,Canada,Series C,300
Robin AI,"London, Non-U.S.",Legal,,0.33,24/10/2025,https://sifted.eu/articles/robin-ai-cuts-a-third-of-staff,United Kingdom,Series B,68
Applied Material,SF Bay Area,Manufacturing,1400,0.04,23/10/2025,https://www.bloomberg.com/news/articles/2025-10-23/applied-materials-to-cut-4-of-global-staff-after-sales-slow,United States,Post-IPO,2100
Rivian,Los Angeles,Transportation,600,0.04,23/10/2025,https://www.reuters.com/business/autos-transportation/rivian-lay-off-more-than-600-workers-amid-ev-pullback-wsj-reports-2025-10-23/,United States,Post-IPO,10700
Kaseya,Miami,Security,200,,23/10/2025,https://www.crn.com/news/channel-news/2026/kaseya-lays-off-5-percent-of-workforce-to-align-our-go-to-market-teams?itc=refresh,United States,Private Equity,547
Altruist,SF Bay Area,Finance,50,0.15,23/10/2025,https://www.investmentnews.com/ria-news/altruist-lays-off-50-employees-but-ceo-says-profitability-is-in-sight/262681,United States,Series E,449
Meta,SF Bay Area,Consumer,600,,22/10/2025,https://www.cnbc.com/2025/10/22/meta-layoffs-ai.html,United States,Post-IPO,26000
Ludeo,Los Angeles,Consumer,25,0.5,20/10/2025,https://www.calcalistech.com/ctechnews/article/bjukuox0xe,United States,Series A,42
Zepto,"Mumbai, Non-U.S.",Retail,300,0.05,18/10/2025,https://www.moneycontrol.com/news/business/startup/around-300-employees-impacted-at-zepto-amid-cost-efficiency-drive-at-the-quick-commerce-company-13622853.html,India,Series H,2600
Broadcom,SF Bay Area,Hardware,247,,17/10/2025,https://www.businessinsider.com/broadcom-layoffs-rifs-cuts-sales-staff-ai-expansion-2025-10,United States,Post-IPO,
